repo,user,project_name
['https://github.com/Glank/Java-Games'],Glank,Java-Games
['https://github.com/victordibia/GidiGames'],victordibia,GidiGames
['https://github.com/sarveshchavan7/Quiz-Game'],sarveshchavan7,Quiz-Game
['https://github.com/AlmasB/FXGLGames'],AlmasB,FXGLGames
['https://github.com/gambitproject/gte'],gambitproject,gte
['https://github.com/StrickenFromHistory/PocketMonstersOnline'],StrickenFromHistory,PocketMonstersOnline
['https://github.com/sarveshchavan7/Trivia-Knowledge'],sarveshchavan7,Trivia-Knowledge
['https://github.com/unchiujar/Umbra'],unchiujar,Umbra
['https://github.com/otasyn/CardGames'],otasyn,CardGames
['https://github.com/zachtaylor/JPokemon'],zachtaylor,JPokemon
['https://github.com/naveed-ahmad/Android-Game-Pack'],naveed-ahmad,Android-Game-Pack
['https://github.com/Shashank02051997/Java-Game-and-Application'],Shashank02051997,Java-Game-and-Application
['https://github.com/KPTeam/BrainTeaser'],KPTeam,BrainTeaser
['https://github.com/lihaoyi/Java-Games'],lihaoyi,Java-Games
['https://github.com/liuwei1993/mini-games'],liuwei1993,mini-games
['https://github.com/PLNech/BactMan-Adventures'],PLNech,BactMan-Adventures
['https://github.com/itai-m/Games-in-Java'],itai-m,Games-in-Java
['https://github.com/okgreece/DBpedia-Game'],okgreece,DBpedia-Game
['https://github.com/genevieveluyt/MultiplayerCardGames'],genevieveluyt,MultiplayerCardGames
['https://github.com/TrainerGuy22/Oceania'],TrainerGuy22,Oceania
['https://github.com/pantaloons/Sudoken'],pantaloons,Sudoken
['https://github.com/ivadla/jdominion'],ivadla,jdominion
['https://github.com/michealodwyer26/The-Legend-Of-The-Golden-Arches'],michealodwyer26,The-Legend-Of-The-Golden-Arches
['https://github.com/adi23arora/awesome-android-games'],adi23arora,awesome-android-games
['https://github.com/jarolrod/java-solitaire'],jarolrod,java-solitaire
['https://github.com/ttgump/Gomoku_Java'],ttgump,Gomoku_Java
['https://github.com/AdamHirst/GamesProgramming'],AdamHirst,GamesProgramming
['https://github.com/matheuscscp/uImpala'],matheuscscp,uImpala
['https://github.com/SurvivalGames/SurvivalGames'],SurvivalGames,SurvivalGames
['https://github.com/lkapidis/CardGamesApp'],lkapidis,CardGamesApp
['https://github.com/xiurobert/TowerWarZ'],xiurobert,TowerWarZ
['https://github.com/tonikolaba/MrTower'],tonikolaba,MrTower
['https://github.com/rameshvarun/Hnefatafl'],rameshvarun,Hnefatafl
['https://github.com/Guanghui-Li/Checkers-and-Chess'],Guanghui-Li,Checkers-and-Chess
['https://github.com/tonikolaba/BatBat-Game'],tonikolaba,BatBat-Game
['https://github.com/muadibbm/Research-Project-Game'],muadibbm,Research-Project-Game
['https://github.com/gjcarter/Farming-Game'],gjcarter,Farming-Game
['https://github.com/eduoie/Android-Pairs-Game'],eduoie,Android-Pairs-Game
['https://github.com/kinny94/Android'],kinny94,Android
['https://github.com/bellyflopp/Connect-Four'],bellyflopp,Connect-Four
['https://github.com/APCSJava/SocketGames'],APCSJava,SocketGames
['https://github.com/Skyost/Project-HungerGames'],Skyost,Project-HungerGames
['https://github.com/ucsb-cs56-projects/cs56-games-pong'],ucsb-cs56-projects,cs56-games-pong
['https://github.com/ucsb-cs56-projects/cs56-games-country-runner'],ucsb-cs56-projects,cs56-games-country-runner
['https://github.com/ucsb-cs56-projects/cs56-games-connectfour'],ucsb-cs56-projects,cs56-games-connectfour
['https://github.com/ucsb-cs56-projects/cs56-games-poker'],ucsb-cs56-projects,cs56-games-poker
['https://github.com/ucsb-cs56-projects/cs56-games-gomoku'],ucsb-cs56-projects,cs56-games-gomoku
['https://github.com/kishordgupta/games'],kishordgupta,games
['https://github.com/ucsb-cs56-projects/cs56-games-guess-the-capital'],ucsb-cs56-projects,cs56-games-guess-the-capital
['https://github.com/ucsb-cs56-projects/cs56-android-games-pacman'],ucsb-cs56-projects,cs56-android-games-pacman
['https://github.com/mirego/csgames-sample-android'],mirego,csgames-sample-android
['https://github.com/kccpac/poker'],kccpac,poker
['https://github.com/IceIceBB/Icebreakers'],IceIceBB,Icebreakers
['https://github.com/KhoaTruong0108/Casino-Game'],KhoaTruong0108,Casino-Game
['https://github.com/abhinavsv3/Games'],abhinavsv3,Games
['https://github.com/mrbigschot/PokemonBattler'],mrbigschot,PokemonBattler
['https://github.com/joshuapickenpaugh/casino'],joshuapickenpaugh,casino
['https://github.com/couchbaselabs/gamesim'],couchbaselabs,gamesim
['https://github.com/vaquierm/Bored-Games'],vaquierm,Bored-Games
['https://github.com/ChainGit/funny-games'],ChainGit,funny-games
['https://github.com/simassimonas/ClassicGames'],simassimonas,ClassicGames
['https://github.com/EDGAmbition/GameSnake'],EDGAmbition,GameSnake
['https://github.com/gamesbykevin/Casino-Games'],gamesbykevin,Casino-Games
['https://github.com/R-e-t-u-r-n-N-u-l-l/Simple-Java-Games'],R-e-t-u-r-n-N-u-l-l,Simple-Java-Games
