repo,user,project_name
,,
['https://github.com/adityaravishankar/last-colony'],adityaravishankar,last-colony
,,
['https://github.com/MegaGlest/megaglest-source'],MegaGlest,megaglest-source
,,
['https://github.com/SimHacker/micropolis'],SimHacker,micropolis
,,
['https://github.com/SFTtech/openage'],SFTtech,openage
,,
['https://github.com/OpenDungeons/OpenDungeons'],OpenDungeons,OpenDungeons
,,
['https://github.com/OpenFodder/openfodder'],OpenFodder,openfodder
,,
['https://github.com/OpenRA/OpenRA'],OpenRA,OpenRA
,,
['https://github.com/OpenTTD/OpenTTD'],OpenTTD,OpenTTD
,,
['https://github.com/OpenXcom/OpenXcom'],OpenXcom,OpenXcom
,,
['https://github.com/henkboom/pax-britannica'],henkboom,pax-britannica
,,
['https://github.com/jwoertink/pcotm'],jwoertink,pcotm
,,
['https://github.com/pioneerspacesim/pioneer'],pioneerspacesim,pioneer
,,
['https://github.com/mbostock/polly-b-gone'],mbostock,polly-b-gone
,,
['https://github.com/OpenRCT2/OpenRCT2'],OpenRCT2,OpenRCT2
,,
['https://github.com/raceintospace/raceintospace'],raceintospace,raceintospace
,,
['https://github.com/the3dfxdude/7kaa'],the3dfxdude,7kaa
,,
['https://github.com/tales/sourceoftales'],tales,sourceoftales
,,
['https://github.com/w84death/Tanks-of-Freedom'],w84death,Tanks-of-Freedom
,,
['https://github.com/wesnoth/wesnoth'],wesnoth,wesnoth
,,
['https://github.com/bonesoul/voxeliq'],bonesoul,voxeliq
,,
['https://github.com/Wargus/wargus'],Wargus,wargus
,,
['https://github.com/Warzone2100/warzone2100'],Warzone2100,warzone2100
,,
['https://github.com/andrettin/wyrmsun'],andrettin,wyrmsun
,,
['https://github.com/ZeroK-RTS/Zero-K'],ZeroK-RTS,Zero-K
,,
['https://github.com/verhoevenv/OpenNotrium'],verhoevenv,OpenNotrium
,,
['https://github.com/AquariaOSE/Aquaria'],AquariaOSE,Aquaria
,,
['https://github.com/TTimo/doom3.gpl'],TTimo,doom3.gpl
,,
['https://github.com/grayj/Jedi-Academy'],grayj,Jedi-Academy
,,
['https://github.com/grayj/Jedi-Outcast'],grayj,Jedi-Outcast
,,
['https://github.com/mangos/mangos'],mangos,mangos
,,
['https://github.com/KeenSoftwareHouse/Miner-Wars-2081'],KeenSoftwareHouse,Miner-Wars-2081
,,
['https://github.com/JACoders/OpenJK'],JACoders,OpenJK
,,
['https://github.com/jmechner/Prince-of-Persia-Apple-II'],jmechner,Prince-of-Persia-Apple-II
,,
['https://github.com/Nextpeer/Nextpeer-UFORUN'],Nextpeer,Nextpeer-UFORUN
,,
['https://github.com/NightDiveStudios/shockmac/'],NightDiveStudios,shockmac
,,
['https://github.com/inexorgame/inexor-core'],inexorgame,inexor-core
,,
['https://github.com/GlPortal/glPortal'],GlPortal,glPortal
