repo,user,project_name
,,
['https://github.com/rishabhp/pappu-pakia'],rishabhp,pappu-pakia
,,
['https://github.com/gamedolphin/javascript_snake'],gamedolphin,javascript_snake
,,
['https://github.com/bendangelo/PixelPlatformer'],bendangelo,PixelPlatformer
,,
['https://github.com/gbatha/PolyBranch'],gbatha,PolyBranch
,,
['https://github.com/josegallegos07/game-off-2013'],josegallegos07,game-off-2013
,,
['https://github.com/kenamick/game-off-2012'],kenamick,game-off-2012
,,
['https://github.com/RothschildGames/release-cycles'],RothschildGames,release-cycles
,,
['https://github.com/softvar/save-the-forest'],softvar,save-the-forest
,,
['https://github.com/basicallydan/skifree.js'],basicallydan,skifree.js
,,
['https://github.com/xurxodiz/snake'],xurxodiz,snake
,,
['https://github.com/RabiRoshan/snake_game'],RabiRoshan,snake_game
,,
['https://github.com/Couchfriends/Space-Shooter'],Couchfriends,Space-Shooter
,,
['https://github.com/MrRar/spashal'],MrRar,spashal
,,
['https://github.com/ScriptaGames/SquareOff/'],ScriptaGames,SquareOff
,,
['https://github.com/maettig/starship-sorades-13k'],maettig,starship-sorades-13k
,,
['https://github.com/Loopeex/space-crusade'],Loopeex,space-crusade
,,
['https://github.com/StrykerKKD/SpaceInvaders'],StrykerKKD,SpaceInvaders
,,
['https://github.com/martindrapeau/backbone-game-engine'],martindrapeau,backbone-game-engine
,,
['https://github.com/scottschiller/SURVIVOR'],scottschiller,SURVIVOR
,,
['https://github.com/jfd/wpilot'],jfd,wpilot
,,
['https://github.com/salvatorecapolupo/zedinvaders'],salvatorecapolupo,zedinvaders
,,
['https://github.com/kripken/BananaBread'],kripken,BananaBread
,,
['https://github.com/mitallast/diablo-js'],mitallast,diablo-js
,,
['https://github.com/CamHenlin/Roguish'],CamHenlin,Roguish
,,
['https://github.com/antionio/game-off-2013'],antionio,game-off-2013
,,
['https://github.com/mozilla/BrowserQuest'],mozilla,BrowserQuest
,,
['https://github.com/adityaravishankar/command-and-conquer'],adityaravishankar,command-and-conquer
,,
['https://github.com/itajaja/hb'],itajaja,hb
,,
['https://github.com/Casmo/tower-defense'],Casmo,tower-defense
,,
['https://github.com/BKcore/HexGL'],BKcore,HexGL
,,
['https://github.com/CodeArtemis/TriggerRally'],CodeArtemis,TriggerRally
,,
['https://github.com/lo-th/3d.city'],lo-th,3d.city
,,
['https://github.com/morozd/blk-game'],morozd,blk-game
,,
['https://github.com/Nurgak/Cube-engine'],Nurgak,Cube-engine
,,
['https://github.com/gabrielecirulli/2048'],gabrielecirulli,2048
,,
['https://github.com/doublespeakgames/adarkroom'],doublespeakgames,adarkroom
,,
['https://github.com/binarymax/anagramica'],binarymax,anagramica
,,
['https://github.com/wwwtyro/Astray'],wwwtyro,Astray
,,
['https://github.com/cxong/Beatrix'],cxong,Beatrix
,,
['https://github.com/sweetcarolinagames/BitBot'],sweetcarolinagames,BitBot
,,
['https://github.com/cheshire137/blicblock-js'],cheshire137,blicblock-js
,,
['https://github.com/Wargus/wargus'],Wargus,wargus
,,
['https://github.com/Warzone2100/warzone2100'],Warzone2100,warzone2100
,,
['https://github.com/andrettin/wyrmsun'],andrettin,wyrmsun
,,
['https://github.com/ZeroK-RTS/Zero-K'],ZeroK-RTS,Zero-K
,,
['https://github.com/verhoevenv/OpenNotrium'],verhoevenv,OpenNotrium
,,
['https://github.com/AquariaOSE/Aquaria'],AquariaOSE,Aquaria
,,
['https://github.com/TTimo/doom3.gpl'],TTimo,doom3.gpl
,,
['https://github.com/grayj/Jedi-Academy'],grayj,Jedi-Academy
,,
['https://github.com/grayj/Jedi-Outcast'],grayj,Jedi-Outcast
,,
['https://github.com/mangos/mangos'],mangos,mangos
