user,repo,url,text,title,state,ref,match,content,contribution_type
binarymax,anagramica,https://github.com/binarymax/anagramica/commit/03183bfa5bd6d544b5ded35fd0c63d0a95a55024,Port Change,"Commit(sha=""03183bfa5bd6d544b5ded35fd0c63d0a95a55024"")",no state,03183bfa5bd6d544b5ded35fd0c63d0a95a55024,Port Change,not here,commit_message
binarymax,anagramica,https://github.com/binarymax/anagramica/commit/e737d12e0f631dafc75d2fb35e1a8c14fe5a886c,"Color changes, IE fixes, foul language removed","Commit(sha=""e737d12e0f631dafc75d2fb35e1a8c14fe5a886c"")",no state,e737d12e0f631dafc75d2fb35e1a8c14fe5a886c,"Color changes, IE fixes, foul language removed",not here,commit_message
binarymax,anagramica,https://github.com/binarymax/anagramica/commit/c0a7e9ec14b7d0df80636813817512162280676e,"Color changes, IE fixes, foul language removed","Commit(sha=""c0a7e9ec14b7d0df80636813817512162280676e"")",no state,c0a7e9ec14b7d0df80636813817512162280676e,"Color changes, IE fixes, foul language removed",not here,commit_message
wwwtyro,Astray,https://github.com/wwwtyro/Astray/issues/8,"Hello! I really like this game and I start looking at the code and I was wondering if there is any posibility to change it to 3D, I mean moving the camera from above into the maze? I try to learn webGl, so I am sorry if my question is out of the content, but I am new in ths field....",Can I change to 3D?,closed,8,Can I change to 3D?,"Can I change to 3D?
Hello! I really like this game and I start looking at the code and I was wondering if there is any posibility to change it to 3D, I mean moving the camera from above into the maze? I try to learn webGl, so I am sorry if my question is out of the content, but I am new in ths field....
Hi Oana - yes, certainly. I would probably start here: https://github.com/wwwtyro/Astray/blob/master/index.html#L175-L177
Thank you! Could you, please, give me more details, or explain me how should I think, so I can implement it?",Issue
wwwtyro,Astray,https://github.com/wwwtyro/Astray/issues/6,"Where does it end? I apologize this is not an issue, did not know where to bring this question up! 
",How many levels are there?,open,6,"Where does it end? I apologize this is not an issue, did not know where to bring this question up! ","How many levels are there?
Where does it end? I apologize this is not an issue, did not know where to bring this question up! 

Yes, where does it end?
From what I understand, it goes on forever.",Issue
wwwtyro,Astray,https://github.com/wwwtyro/Astray/issues/5,"Whenever I load the game, it is completely dark.  The one hosted on your site works just fine but the one I downloaded in the zip file is just completely dark in the background and i'm not sure why.  It's the same on chrome and firefox.  Do you know what could be causing the problem?
",Lighting,open,5,"Whenever I load the game, it is completely dark.  The one hosted on your site works just fine but the one I downloaded in the zip file is just completely dark in the background and i'm not sure why.  It's the same on chrome and firefox.  Do you know what could be causing the problem?","Lighting
Whenever I load the game, it is completely dark.  The one hosted on your site works just fine but the one I downloaded in the zip file is just completely dark in the background and i'm not sure why.  It's the same on chrome and firefox.  Do you know what could be causing the problem?

use complete URL for images on index.html (line 26)

```
            ironTexture    = THREE.ImageUtils.loadTexture('http://yoursite/ball.png'),
            planeTexture   = THREE.ImageUtils.loadTexture('http://yoursite/concrete.png'),
            brickTexture   = THREE.ImageUtils.loadTexture('http://yoursite/brick.png'),
```

Lighting issue still occurs even with the image files replaced for me... Is there anyone who can help?",Issue
cxong,Beatrix,https://github.com/cxong/Beatrix/commit/b58a8ed6e1fec988e5a71252f4f192f09c1a94a7,Change indicator colour,"Commit(sha=""b58a8ed6e1fec988e5a71252f4f192f09c1a94a7"")",no state,b58a8ed6e1fec988e5a71252f4f192f09c1a94a7,Change indicator colour,not here,commit_message
cxong,Beatrix,https://github.com/cxong/Beatrix/commit/1e8a46f7d16bde9717b590087b345e6275e97845,"Add fancy title level with amen break

Add new level sound
Fix half-pixel placements
Fix first beat timing issues","Commit(sha=""1e8a46f7d16bde9717b590087b345e6275e97845"")",no state,1e8a46f7d16bde9717b590087b345e6275e97845,Fix first beat timing issues,not here,commit_message
cxong,Beatrix,https://github.com/cxong/Beatrix/commit/0aeea837687c8c3aa5ea3b1945d47b0d07358a06,Minor changes,"Commit(sha=""0aeea837687c8c3aa5ea3b1945d47b0d07358a06"")",no state,0aeea837687c8c3aa5ea3b1945d47b0d07358a06,Minor changes,not here,commit_message
sweetcarolinagames,BitBot,https://github.com/sweetcarolinagames/BitBot/commit/db40ad2b908eea94d8f09f70dd5609914724c4c5,Changing licensing information.,"Commit(sha=""db40ad2b908eea94d8f09f70dd5609914724c4c5"")",no state,db40ad2b908eea94d8f09f70dd5609914724c4c5,Changing licensing information.,not here,commit_message
